iso_code,country_name,epi_score,epi_eco,epi_hlt,epi_bdh,epi_cch,epi_air,epi_h2o,epi_wmg,epi_agr,n_firms,br_env,co2_monitoring_pct,energy_mgmt_pct
AFG,Afghanistan,31.0,31.9,18.2,31.7,40.2,15.8,32.3,25.2,41.1,,,,
AGO,Angola,40.1,44.1,21.8,41.5,49.4,19.9,22.9,26.1,41.0,430.0,,7.226107226107226,19.158878504672895
ALB,Albania,52.2,51.9,44.1,50.3,59.4,36.4,71.0,16.4,50.4,,,,
ARE,United Arab Emirates,51.6,62.4,51.3,59.0,35.6,46.2,73.6,20.0,37.5,,,,
ARG,Argentina,47.0,46.7,54.3,34.7,41.4,47.6,73.4,26.6,81.4,,,,
ARM,Armenia,44.9,48.1,41.8,47.6,42.8,30.9,75.8,24.8,35.5,375.0,,8.310991957104557,23.26283987915408
ATG,Antigua and Barbuda,55.6,53.2,69.6,52.5,46.4,77.8,55.8,35.6,31.4,,,,
AUS,Australia,63.1,62.5,84.0,55.2,46.6,80.9,99.5,45.7,65.3,,,,
AUT,Austria,68.9,77.6,71.0,74.3,54.1,61.5,96.0,63.8,72.5,,,,
AZE,Azerbaijan,40.5,44.7,40.4,36.7,34.7,38.2,47.9,21.6,63.0,368.0,,44.44444444444444,47.353760445682454
BDI,Burundi,33.5,49.3,13.1,51.6,26.6,9.0,16.9,24.0,45.4,161.0,,13.664596273291925,34.59119496855346
BEL,Belgium,66.8,68.5,72.2,66.2,59.7,64.8,93.3,65.1,68.5,313.0,,26.7741935483871,77.31629392971246
BEN,Benin,37.8,56.1,26.0,63.9,22.9,24.9,20.0,41.9,54.0,364.0,,20.27777777777778,28.92561983471074
BFA,Burkina Faso,42.2,58.6,33.3,73.3,24.9,39.8,15.7,27.4,64.0,380.0,,10.263157894736842,21.578947368421055
BGD,Bangladesh,28.1,31.9,15.2,29.1,33.0,6.3,32.0,52.9,72.2,998.0,32.14006457245556,7.381776239907728,77.52293577981652
BGR,Bulgaria,56.2,70.8,42.6,69.2,45.7,31.9,79.0,47.3,74.2,710.0,43.51302186553738,6.9306930693069315,29.101283880171184
BHR,Bahrain,35.3,36.9,41.6,25.8,27.9,32.7,69.0,34.6,42.5,150.0,,27.333333333333332,56.666666666666664
BHS,Bahamas,55.9,53.3,69.9,46.4,47.6,76.4,65.3,8.7,50.2,,,,
BIH,Bosnia and Herzegovina,46.0,52.1,36.1,45.8,45.9,22.9,78.3,17.7,52.3,351.0,25.53485808315555,6.552706552706552,11.68091168091168
BLR,Belarus,58.2,68.2,56.7,70.4,44.5,51.3,77.5,44.3,45.2,,,,
BLZ,Belize,47.4,57.4,43.4,57.8,35.8,41.2,50.1,19.6,60.9,,,,
BOL,Bolivia,45.3,56.6,29.7,63.5,41.4,23.0,46.6,24.5,59.6,,,,
